Feature
dx_codeReviewDuration_rolling_2m_mean
dx_codeReviewDuration_rolling_2m_std
dx_codeReviewDuration_rolling_2m_min
dx_codeReviewDuration_rolling_2m_max
dx_codeReviewDuration_rolling_3m_mean
dx_codeReviewDuration_rolling_3m_std
dx_codeReviewDuration_rolling_3m_min
dx_codeReviewDuration_rolling_3m_max
dx_debuggingTime_rolling_2m_mean
dx_debuggingTime_rolling_2m_std
dx_debuggingTime_rolling_2m_min
dx_debuggingTime_rolling_2m_max
dx_debuggingTime_rolling_3m_mean
dx_debuggingTime_rolling_3m_std
dx_debuggingTime_rolling_3m_min
dx_debuggingTime_rolling_3m_max
dx_successfulDeploymentsRatio_rolling_2m_mean
dx_successfulDeploymentsRatio_rolling_2m_std
dx_successfulDeploymentsRatio_rolling_2m_min
dx_successfulDeploymentsRatio_rolling_2m_max
dx_successfulDeploymentsRatio_rolling_3m_mean
dx_successfulDeploymentsRatio_rolling_3m_std
dx_successfulDeploymentsRatio_rolling_3m_min
dx_successfulDeploymentsRatio_rolling_3m_max
dx_timeToFirstCommit_rolling_2m_mean
dx_timeToFirstCommit_rolling_2m_std
dx_timeToFirstCommit_rolling_2m_min
dx_timeToFirstCommit_rolling_2m_max
dx_timeToFirstCommit_rolling_3m_mean
dx_timeToFirstCommit_rolling_3m_std
dx_timeToFirstCommit_rolling_3m_min
dx_timeToFirstCommit_rolling_3m_max
dx_linesChangedPerHour_rolling_2m_mean
dx_linesChangedPerHour_rolling_2m_std
dx_linesChangedPerHour_rolling_2m_min
dx_linesChangedPerHour_rolling_2m_max
dx_linesChangedPerHour_rolling_3m_mean
dx_linesChangedPerHour_rolling_3m_std
dx_linesChangedPerHour_rolling_3m_min
dx_linesChangedPerHour_rolling_3m_max
dx_averageCommentsPerPR_rolling_2m_mean
dx_averageCommentsPerPR_rolling_2m_std
dx_averageCommentsPerPR_rolling_2m_min
dx_averageCommentsPerPR_rolling_2m_max
dx_averageCommentsPerPR_rolling_3m_mean
dx_averageCommentsPerPR_rolling_3m_std
dx_averageCommentsPerPR_rolling_3m_min
dx_averageCommentsPerPR_rolling_3m_max
dx_prIterationRate_rolling_2m_mean
dx_prIterationRate_rolling_2m_std
dx_prIterationRate_rolling_2m_min
dx_prIterationRate_rolling_2m_max
dx_prIterationRate_rolling_3m_mean
dx_prIterationRate_rolling_3m_std
dx_prIterationRate_rolling_3m_min
dx_prIterationRate_rolling_3m_max
tp_buildTime_rolling_2m_mean
tp_buildTime_rolling_2m_std
tp_buildTime_rolling_2m_min
tp_buildTime_rolling_2m_max
tp_buildTime_rolling_3m_mean
tp_buildTime_rolling_3m_std
tp_buildTime_rolling_3m_min
tp_buildTime_rolling_3m_max
tp_bundleSize_rolling_2m_mean
tp_bundleSize_rolling_2m_std
tp_bundleSize_rolling_2m_min
tp_bundleSize_rolling_2m_max
tp_bundleSize_rolling_3m_mean
tp_bundleSize_rolling_3m_std
tp_bundleSize_rolling_3m_min
tp_bundleSize_rolling_3m_max
tp_bundleLoadTime_rolling_2m_mean
tp_bundleLoadTime_rolling_2m_std
tp_bundleLoadTime_rolling_2m_min
tp_bundleLoadTime_rolling_2m_max
tp_bundleLoadTime_rolling_3m_mean
tp_bundleLoadTime_rolling_3m_std
tp_bundleLoadTime_rolling_3m_min
tp_bundleLoadTime_rolling_3m_max
tp_performanceScore_rolling_2m_mean
tp_performanceScore_rolling_2m_std
tp_performanceScore_rolling_2m_min
tp_performanceScore_rolling_2m_max
tp_performanceScore_rolling_3m_mean
tp_performanceScore_rolling_3m_std
tp_performanceScore_rolling_3m_min
tp_performanceScore_rolling_3m_max
tp_typeScriptErrorRate_rolling_2m_mean
tp_typeScriptErrorRate_rolling_2m_std
tp_typeScriptErrorRate_rolling_2m_min
tp_typeScriptErrorRate_rolling_2m_max
tp_typeScriptErrorRate_rolling_3m_mean
tp_typeScriptErrorRate_rolling_3m_std
tp_typeScriptErrorRate_rolling_3m_min
tp_typeScriptErrorRate_rolling_3m_max
tp_testCoverage_rolling_2m_mean
tp_testCoverage_rolling_2m_std
tp_testCoverage_rolling_2m_min
tp_testCoverage_rolling_2m_max
tp_testCoverage_rolling_3m_mean
tp_testCoverage_rolling_3m_std
tp_testCoverage_rolling_3m_min
tp_testCoverage_rolling_3m_max
bi_timeToMarket_rolling_2m_mean
bi_timeToMarket_rolling_2m_std
bi_timeToMarket_rolling_2m_min
bi_timeToMarket_rolling_2m_max
bi_timeToMarket_rolling_3m_mean
bi_timeToMarket_rolling_3m_std
bi_timeToMarket_rolling_3m_min
bi_timeToMarket_rolling_3m_max
bi_featureSuccessRate_rolling_2m_mean
bi_featureSuccessRate_rolling_2m_std
bi_featureSuccessRate_rolling_2m_min
bi_featureSuccessRate_rolling_2m_max
bi_featureSuccessRate_rolling_3m_mean
bi_featureSuccessRate_rolling_3m_std
bi_featureSuccessRate_rolling_3m_min
bi_featureSuccessRate_rolling_3m_max
bi_activeContributors_rolling_2m_mean
bi_activeContributors_rolling_2m_std
bi_activeContributors_rolling_2m_min
bi_activeContributors_rolling_2m_max
bi_activeContributors_rolling_3m_mean
bi_activeContributors_rolling_3m_std
bi_activeContributors_rolling_3m_min
bi_activeContributors_rolling_3m_max
bi_issueResolutionRate_rolling_2m_mean
bi_issueResolutionRate_rolling_2m_std
bi_issueResolutionRate_rolling_2m_min
bi_issueResolutionRate_rolling_2m_max
bi_issueResolutionRate_rolling_3m_mean
bi_issueResolutionRate_rolling_3m_std
bi_issueResolutionRate_rolling_3m_min
bi_issueResolutionRate_rolling_3m_max
bi_communityGrowth_rolling_2m_mean
bi_communityGrowth_rolling_2m_std
bi_communityGrowth_rolling_2m_min
bi_communityGrowth_rolling_2m_max
bi_communityGrowth_rolling_3m_mean
bi_communityGrowth_rolling_3m_std
bi_communityGrowth_rolling_3m_min
bi_communityGrowth_rolling_3m_max
dx_codeReviewDuration_trend_2m
dx_codeReviewDuration_trend_3m
dx_debuggingTime_trend_2m
dx_debuggingTime_trend_3m
dx_successfulDeploymentsRatio_trend_2m
dx_successfulDeploymentsRatio_trend_3m
dx_timeToFirstCommit_trend_2m
dx_timeToFirstCommit_trend_3m
dx_linesChangedPerHour_trend_2m
dx_linesChangedPerHour_trend_3m
dx_averageCommentsPerPR_trend_2m
dx_averageCommentsPerPR_trend_3m
dx_prIterationRate_trend_2m
dx_prIterationRate_trend_3m
tp_buildTime_trend_2m
tp_buildTime_trend_3m
tp_bundleSize_trend_2m
tp_bundleSize_trend_3m
tp_bundleLoadTime_trend_2m
tp_bundleLoadTime_trend_3m
tp_performanceScore_trend_2m
tp_performanceScore_trend_3m
tp_typeScriptErrorRate_trend_2m
tp_typeScriptErrorRate_trend_3m
tp_testCoverage_trend_2m
tp_testCoverage_trend_3m
bi_timeToMarket_trend_2m
bi_timeToMarket_trend_3m
bi_featureSuccessRate_trend_2m
bi_featureSuccessRate_trend_3m
bi_activeContributors_trend_2m
bi_activeContributors_trend_3m
bi_issueResolutionRate_trend_2m
bi_issueResolutionRate_trend_3m
bi_communityGrowth_trend_2m
bi_communityGrowth_trend_3m
dx_codeReviewDuration_momentum_1m
dx_codeReviewDuration_momentum_2m
dx_debuggingTime_momentum_1m
dx_debuggingTime_momentum_2m
dx_successfulDeploymentsRatio_momentum_1m
dx_successfulDeploymentsRatio_momentum_2m
dx_timeToFirstCommit_momentum_1m
dx_timeToFirstCommit_momentum_2m
dx_linesChangedPerHour_momentum_1m
dx_linesChangedPerHour_momentum_2m
dx_averageCommentsPerPR_momentum_1m
dx_averageCommentsPerPR_momentum_2m
dx_prIterationRate_momentum_1m
dx_prIterationRate_momentum_2m
tp_buildTime_momentum_1m
tp_buildTime_momentum_2m
tp_bundleSize_momentum_1m
tp_bundleSize_momentum_2m
tp_bundleLoadTime_momentum_1m
tp_bundleLoadTime_momentum_2m
tp_performanceScore_momentum_1m
tp_performanceScore_momentum_2m
tp_typeScriptErrorRate_momentum_1m
tp_typeScriptErrorRate_momentum_2m
tp_testCoverage_momentum_1m
tp_testCoverage_momentum_2m
bi_timeToMarket_momentum_1m
bi_timeToMarket_momentum_2m
bi_featureSuccessRate_momentum_1m
bi_featureSuccessRate_momentum_2m
bi_activeContributors_momentum_1m
bi_activeContributors_momentum_2m
bi_issueResolutionRate_momentum_1m
bi_issueResolutionRate_momentum_2m
bi_communityGrowth_momentum_1m
bi_communityGrowth_momentum_2m
dx_codeReviewDuration_volatility_3m
dx_debuggingTime_volatility_3m
dx_successfulDeploymentsRatio_volatility_3m
dx_timeToFirstCommit_volatility_3m
dx_linesChangedPerHour_volatility_3m
dx_averageCommentsPerPR_volatility_3m
dx_prIterationRate_volatility_3m
tp_buildTime_volatility_3m
tp_bundleSize_volatility_3m
tp_bundleLoadTime_volatility_3m
tp_performanceScore_volatility_3m
tp_typeScriptErrorRate_volatility_3m
tp_testCoverage_volatility_3m
bi_timeToMarket_volatility_3m
bi_featureSuccessRate_volatility_3m
bi_activeContributors_volatility_3m
bi_issueResolutionRate_volatility_3m
bi_communityGrowth_volatility_3m
dx_codeReviewDuration_trend_value_interaction
tp_testCoverage_trend_value_interaction
bi_timeToMarket_trend_value_interaction
dx_codeReviewDuration_momentum_volatility
bi_communityGrowth_momentum_volatility
month_number
days_since_start
quarter
is_last_month
