name,overallScore,confidence,collectedAt,dx_codeReviewDuration,dx_debuggingTime,dx_successfulDeploymentsRatio,dx_timeToFirstCommit,dx_linesChangedPerHour,dx_averageCommentsPerPR,dx_prIterationRate,tp_buildTime,tp_bundleSize,tp_bundleLoadTime,tp_performanceScore,tp_typeScriptErrorRate,tp_testCoverage,bi_timeToMarket,bi_featureSuccessRate,bi_activeContributors,bi_issueResolutionRate,bi_communityGrowth,avg_dx,avg_tp,avg_bi
evanw/esbuild,66,90,2025-10-02T08:11:39.167Z,741.5002314814816,0.0,0.95,2.5,0.05814038793349693,1.1,0.1,600.0,20802560,208025.6,79.685,0.33793103448275863,75,15.321487409665764,0.41,28,0.5402298850574713,39.354,106.60119598134501,3501890.1038218387,16.725143458944647
swc-project/swc,72,90,2025-10-02T08:11:53.085Z,91.85743540051682,748.3399879227053,0.95,2.5,0.558499432927851,4.0,1.0,600.0,431799296,4317992.96,60.0,0.5181818181818182,75,2.5194649916770695,0.89,18,0.7575757575757576,32.774,121.31513182230715,72686337.4130303,10.988208149850566
prisma/prisma,68,90,2025-10-09T12:02:49.556Z,65.3791975308642,7290.996438172044,0.95,2.5,0.9232464360336611,1.7,0.7,600.0,167664640,1676646.4,60.0,0.3162162162162162,85,2.440683031121399,0.72,16,0.527027027027027,43.981,1051.8784117341345,28223671.952702705,12.733742011629687
web-infra-dev/rspack,71,90,2025-10-02T08:12:24.091Z,120.31048798798798,19.678333333333335,0.95,2.5,2.001577874364983,4.0,0.7,600.0,73203712,732037.12,60.0,0.37,75,3.0082802619692868,0.82,16,0.6,12.062,21.448628456526613,12322747.415000001,6.498056052393858
vercel/turbo,62,90,2025-10-02T08:12:38.758Z,532.9627350427351,2254.571959876543,0.95,2.5,0.41473530324918084,4.0,0.6,600.0,795653120,7956531.2,60.0,0.37,75,13.312442810457512,0.51,18,0.5666666666666667,28.78,399.4284900317895,133935064.42833334,12.233821895424835
testing-library/react-testing-library,72,90,2025-10-02T08:13:00.773Z,466.11489197530875,3273.422777777778,0.95,2.5,0.03635250607985731,4.8,0.6,166.9,1709056,17090.56,98.331,0.36233766233766235,75,12.635678240740738,0.75,18,0.6623376623376623,19.402,535.4891460370237,287747.8588896104,10.290003180615681
microsoft/playwright,79,90,2025-10-02T08:13:14.906Z,29.55409523809524,0.0,0.95,2.5,1.6473424035988888,1.8,0.2,600.0,222569472,2225694.72,60.0,0.1646341463414634,95,0.6676734682213076,0.81,11,0.3902439024390244,77.743,5.235919663099161,37465986.98077235,18.122183474132065
vitest-dev/vitest,64,90,2025-10-02T08:13:32.691Z,71.22099867724867,6704.306944444444,0.95,2.5,1.6036602664316628,1.6,0.4,600.0,46827520,468275.2,60.0,0.21101694915254238,85,13.18467413275952,0.71,20,0.6101694915254238,15.04,968.9402290554463,7882756.735169492,9.908968724856988
nrwl/nx,72,90,2025-10-09T12:03:05.783Z,183.73814814814816,2128.4292916666664,0.95,2.5,0.7633494278135504,4.9,0.4,600.0,789924864,7899248.64,60.0,0.3857142857142857,85,4.402095041989665,0.86,18,0.32142857142857145,27.189,331.66868417751823,132970809.67095238,10.15450472268365
colinhacks/zod,76,90,2025-10-09T12:03:20.426Z,98.98057936507934,0.0,0.95,2.5,0.127875012839219,0.8,0.1,600.0,23346176,233461.76,77.201,0.2423076923076923,85,3.201202529522276,0.69,38,0.5512820512820513,40.277,14.779779196845508,3930066.7005512826,16.543896916160868
