project,date,dx_codeReviewDuration,dx_debuggingTime,dx_successfulDeploymentsRatio,dx_timeToFirstCommit,dx_linesChangedPerHour,dx_averageCommentsPerPR,dx_prIterationRate,tp_buildTime,tp_bundleSize,tp_bundleLoadTime,tp_performanceScore,tp_typeScriptErrorRate,tp_testCoverage,bi_timeToMarket,bi_featureSuccessRate,bi_activeContributors,bi_issueResolutionRate,bi_communityGrowth
chakra-ui/chakra-ui,2025-05-31T21:00:00.000Z,28.1075,1628.4966666666667,0.95,2.5,0.8538646268789468,4,1,600,285240320,2852403.2,60,0.19375,85,41.29145833333333,1,3,1,39.789
chakra-ui/chakra-ui,2025-06-30T21:00:00.000Z,28.1075,1628.4966666666667,0.95,2.5,0.8538646268789468,4,1,600,285240320,2852403.2,60,0.19375,85,26.26306327160494,1,5,1,39.789
chakra-ui/chakra-ui,2025-07-31T21:00:00.000Z,28.1075,1628.4966666666667,0.95,2.5,0.8538646268789468,4,1,600,285240320,2852403.2,60,0.19375,85,6.346712962962964,0.8974358974358975,14,1,39.789
chakra-ui/chakra-ui,2025-08-31T21:00:00.000Z,39.082878787878784,1628.4966666666667,0.95,2.5,11.13019341182491,2.3,0.3,600,285240320,2852403.2,60,0.19375,85,4.354575066137566,0.8888888888888888,18,1,39.789
chakra-ui/chakra-ui,2025-09-30T21:00:00.000Z,82.63246296296295,1628.4966666666667,0.95,2.5,0.564346404078928,2,0.2,600,285240320,2852403.2,60,0.19375,85,4.389783950617284,0.872093023255814,27,0.9761904761904762,39.789
mantinedev/mantine,2025-04-30T21:00:00.000Z,75.84,2.734722222222222,0.95,2.5,3.3359704641350207,6,1,600,203904000,2039040,60,0.175,85,2.0231635802469135,1,2,0.875,29.827
mantinedev/mantine,2025-05-31T21:00:00.000Z,75.84,2.734722222222222,0.95,2.5,3.3359704641350207,6,1,600,203904000,2039040,60,0.175,85,2.0231635802469135,1,2,0.875,29.827
mantinedev/mantine,2025-06-30T21:00:00.000Z,75.84,2.734722222222222,0.95,2.5,3.3359704641350207,6,1,600,203904000,2039040,60,0.175,85,2.437331018518518,1,5,0.875,29.827
mantinedev/mantine,2025-07-31T21:00:00.000Z,75.84,2.734722222222222,0.95,2.5,3.3359704641350207,6,1,600,203904000,2039040,60,0.175,85,7.982583061002179,0.7906976744186046,25,0.6363636363636364,29.827
mantinedev/mantine,2025-08-31T21:00:00.000Z,93.51398611111111,2.734722222222222,0.95,2.5,0.24381379671816766,1.8,0.5,600,203904000,2039040,60,0.175,85,6.282229872881356,0.8082191780821918,46,0.6428571428571429,29.827
mantinedev/mantine,2025-09-30T21:00:00.000Z,90.57041666666666,2.734722222222222,0.95,2.5,0.13214855844209616,1.4,0.2,600,203904000,2039040,60,0.175,85,5.823715440792905,0.797752808988764,55,0.8775510204081632,29.827
radix-ui/primitives,2025-04-30T21:00:00.000Z,542.560462962963,2815.3406666666665,0.95,2.5,0.23346092336867047,11,0.6666666666666666,600,22098944,220989.44,78.419,0.16125,85,9.430631872106478,0.5614035087719298,12,0.2830188679245283,17.978
radix-ui/primitives,2025-05-31T21:00:00.000Z,231.03876984126987,2815.3406666666665,0.95,2.5,0.5568020347028267,4.3,0.4,600,22098944,220989.44,78.419,0.16125,85,8.57518087855297,0.5972222222222222,13,0.2777777777777778,17.978
radix-ui/primitives,2025-06-30T21:00:00.000Z,231.03876984126987,2815.3406666666665,0.95,2.5,0.5568020347028267,4.3,0.4,600,22098944,220989.44,78.419,0.16125,85,8.57518087855297,0.5733333333333334,13,0.2727272727272727,17.978
radix-ui/primitives,2025-07-31T21:00:00.000Z,995.6786882716054,2815.3406666666665,0.95,2.5,0.06450095093800322,4.9,0.6,600,22098944,220989.44,78.419,0.16125,85,20.86636549448384,0.5164835164835165,14,0.2857142857142857,17.978
radix-ui/primitives,2025-08-31T21:00:00.000Z,994.7876058201063,4445.979259259259,0.95,2.5,0.0344174927771333,5.4,0.7,600,22098944,220989.44,78.419,0.16125,85,22.087986342592586,0.5154639175257731,16,0.265625,17.978
radix-ui/primitives,2025-09-30T21:00:00.000Z,994.7876058201063,4445.979259259259,0.95,2.5,0.0344174927771333,5.4,0.7,600,22098944,220989.44,78.419,0.16125,85,22.087986342592586,0.5050505050505051,16,0.25675675675675674,17.978
shadcn-ui/ui,2025-04-30T21:00:00.000Z,,417.17583333333334,0.95,2.5,,,,600,38637568,386375.68,62.268,0.18157894736842103,95,,,,0.35714285714285715,97.287
shadcn-ui/ui,2025-05-31T21:00:00.000Z,,417.17583333333334,0.95,2.5,,,,600,38637568,386375.68,62.268,0.18157894736842103,95,,,,0.3333333333333333,97.287
shadcn-ui/ui,2025-06-30T21:00:00.000Z,,417.17583333333334,0.95,2.5,,,,600,38637568,386375.68,62.268,0.18157894736842103,95,,,,0.29411764705882354,97.287
shadcn-ui/ui,2025-07-31T21:00:00.000Z,,417.17583333333334,0.95,2.5,,,,600,38637568,386375.68,62.268,0.18157894736842103,95,,,,0.2777777777777778,97.287
shadcn-ui/ui,2025-08-31T21:00:00.000Z,,417.17583333333334,0.95,2.5,,,,600,38637568,386375.68,62.268,0.18157894736842103,95,,,,0.2777777777777778,97.287
shadcn-ui/ui,2025-09-30T21:00:00.000Z,,1459.0912962962964,0.95,2.5,,,,600,38637568,386375.68,62.268,0.18157894736842103,95,1.4272878086419754,0.07894736842105263,3,0.3157894736842105,97.287
tailwindlabs/headlessui,2025-04-30T21:00:00.000Z,5.124722222222222,,0.95,2.5,32.87983088514282,1.75,1,600,7260160,72601.6,92.91,0.16428571428571428,85,0.7060974326599324,0.8,9,0.03571428571428571,28.029
tailwindlabs/headlessui,2025-05-31T21:00:00.000Z,13.73060606060606,,0.95,2.5,22.987795458056542,3.2,0.9,600,7260160,72601.6,92.91,0.16428571428571428,85,0.7158306100217865,0.7846153846153846,10,0.03571428571428571,28.029
tailwindlabs/headlessui,2025-06-30T21:00:00.000Z,28.605949074074065,,0.95,2.5,9.138541986135042,3.3,0.8,600,7260160,72601.6,92.91,0.16428571428571428,85,0.8560988693019944,0.7878787878787878,11,0.03508771929824561,28.029
tailwindlabs/headlessui,2025-07-31T21:00:00.000Z,44.44896604938272,,0.95,2.5,2.2835176837911977,3.7,0.9,600,7260160,72601.6,92.91,0.16428571428571428,85,1.0957050207535124,0.7837837837837838,11,0.03508771929824561,28.029
tailwindlabs/headlessui,2025-08-31T21:00:00.000Z,40.0315,,0.95,2.5,1.8885127961730137,4.3,0.9,600,7260160,72601.6,92.91,0.16428571428571428,85,1.0595625000000002,0.7894736842105263,11,0.03508771929824561,28.029
tailwindlabs/headlessui,2025-09-30T21:00:00.000Z,562.3750877192983,,0.95,2.5,0.04950807009618977,3.2,1,600,7260160,72601.6,92.91,0.16428571428571428,85,11.803094729344728,0.78,13,0.30864197530864196,28.029
react-bootstrap/react-bootstrap,2025-04-30T21:00:00.000Z,714.2296388888889,1866.9922685185184,0.95,2.5,2.765357095895123,0.9,0.6,600,33489920,334899.2,67.295,0.1891304347826087,85,14.102793311403508,0.4935064935064935,11,0.5,22.607
react-bootstrap/react-bootstrap,2025-05-31T21:00:00.000Z,506.7012222222222,2827.908134920635,0.95,2.5,3.0496604288611016,0.8,0.5,600,33489920,334899.2,67.295,0.1891304347826087,85,12.906947136089578,0.5119047619047619,11,0.625,22.607
react-bootstrap/react-bootstrap,2025-06-30T21:00:00.000Z,426.797237654321,2827.908134920635,0.95,2.5,2.5673132943510013,0.9,0.3,600,33489920,334899.2,67.295,0.1891304347826087,85,12.139312852254427,0.5287356321839081,12,0.6153846153846154,22.607
react-bootstrap/react-bootstrap,2025-07-31T21:00:00.000Z,399.1033333333334,2628.0963715277776,0.95,2.5,0.2118385076850303,0.5,0.2,600,33489920,334899.2,67.295,0.1891304347826087,85,12.083103703703706,0.5376344086021505,14,0.5806451612903226,22.607
react-bootstrap/react-bootstrap,2025-08-31T21:00:00.000Z,461.3088444444445,2999.7572727272723,0.95,2.5,0.2519786936666869,0.4,0.2,600,33489920,334899.2,67.295,0.1891304347826087,85,13.563028476589798,0.5520833333333334,14,0.6666666666666666,22.607
react-bootstrap/react-bootstrap,2025-09-30T21:00:00.000Z,405.9384578544061,3381.6253205128205,0.95,2.5,0.25874484352574534,0.2,0.1,600,33489920,334899.2,67.295,0.1891304347826087,85,12.78630583983106,0.57,14,0.6739130434782609,22.607
Semantic-Org/Semantic-UI-React,2025-04-30T21:00:00.000Z,582.4987422839505,5484.46130952381,0.95,2.5,0.7601351653424464,6.9,0.8,600,210960384,2109603.84,60,0.31875,75,27.78198032407409,0.8080808080808081,29,0.3103448275862069,13.262
Semantic-Org/Semantic-UI-React,2025-05-31T21:00:00.000Z,582.4987422839505,5484.46130952381,0.95,2.5,0.7601351653424464,6.9,0.8,600,210960384,2109603.84,60,0.31875,75,27.78198032407409,0.8080808080808081,29,0.3103448275862069,13.262
Semantic-Org/Semantic-UI-React,2025-06-30T21:00:00.000Z,582.4987422839505,5484.46130952381,0.95,2.5,0.7601351653424464,6.9,0.8,600,210960384,2109603.84,60,0.31875,75,27.78198032407409,0.8080808080808081,29,0.3,13.262
Semantic-Org/Semantic-UI-React,2025-07-31T21:00:00.000Z,582.4987422839505,5484.46130952381,0.95,2.5,0.7601351653424464,6.9,0.8,600,210960384,2109603.84,60,0.31875,75,27.78198032407409,0.8080808080808081,29,0.2903225806451613,13.262
Semantic-Org/Semantic-UI-React,2025-08-31T21:00:00.000Z,582.4987422839505,5484.46130952381,0.95,2.5,0.7601351653424464,6.9,0.8,600,210960384,2109603.84,60,0.31875,75,27.78198032407409,0.8,29,0.2903225806451613,13.262
Semantic-Org/Semantic-UI-React,2025-09-30T21:00:00.000Z,582.4987422839505,5484.46130952381,0.95,2.5,0.7601351653424464,6.9,0.8,600,210960384,2109603.84,60,0.31875,75,27.78198032407409,0.8,29,0.2857142857142857,13.262
palantir/blueprint,2025-04-30T21:00:00.000Z,,,0.95,2.5,,,,600,203512832,2035128.32,60,0.15,85,3.8985216750841745,1,9,0.16666666666666666,21.306
palantir/blueprint,2025-05-31T21:00:00.000Z,,,0.95,2.5,,,,600,203512832,2035128.32,60,0.15,85,3.8985216750841745,1,9,0.14285714285714285,21.306
palantir/blueprint,2025-06-30T21:00:00.000Z,,74.46055555555556,0.95,2.5,,,,600,203512832,2035128.32,60,0.15,85,37.02953949214366,0.7674418604651163,14,0.14285714285714285,21.306
palantir/blueprint,2025-07-31T21:00:00.000Z,283.97366161616156,74.46055555555556,0.95,2.5,1.2469146155164306,2.5,0.7,600,203512832,2035128.32,60,0.15,85,27.980920965608465,0.7205882352941176,22,0.18181818181818182,21.306
palantir/blueprint,2025-08-31T21:00:00.000Z,150.6609,74.46055555555556,0.95,2.5,2.5840812048779744,2.3,0.3,600,203512832,2035128.32,60,0.15,85,22.188078887419163,0.7411764705882353,24,0.21428571428571427,21.306
palantir/blueprint,2025-09-30T21:00:00.000Z,209.0372048611111,74.46055555555556,0.95,2.5,0.4351797090878709,3.4,0.6,600,203512832,2035128.32,60,0.15,85,21.708954365079364,0.7368421052631579,25,0.16666666666666666,21.306
reduxjs/redux,2025-04-30T21:00:00.000Z,24.916770833333338,,0.95,2.5,19.627844365199138,3.8,0.3,600,34868224,348682.24,65.949,0.19166666666666665,95,15.403190921900162,0.7666666666666667,45,0.6206896551724138,61.355
