Feature,Correlation,Abs Correlation,p-value
bi_featureSuccessRate_norm,0.27526276957899026,0.27526276957899026,0.05302359559830465
bi_featureSuccessRate_std,0.2752627695789902,0.2752627695789902,0.05302359559830465
bi_featureSuccessRate,0.2752627695789902,0.2752627695789902,0.05302359559830465
dx_codeReviewDuration_squared_norm,-0.2723603415434618,0.2723603415434618,0.05568207760042129
dx_codeReviewDuration_squared,-0.2723603415434618,0.2723603415434618,0.05568207760042129
dx_codeReviewDuration_squared_std,-0.2723603415434618,0.2723603415434618,0.05568207760042129
tp_bundleSize_log_norm,-0.262326875473884,0.262326875473884,0.06571075814024147
tp_bundleSize_log,-0.26232687547388395,0.26232687547388395,0.06571075814024147
tp_bundleSize_log_std,-0.2623268754738839,0.2623268754738839,0.06571075814024147
tp_bundleLoadTime_log,-0.2623266989432125,0.2623266989432125,0.06571094648031212
tp_bundleLoadTime_log_std,-0.2623266989432125,0.2623266989432125,0.06571094648031212
tp_bundleLoadTime_log_norm,-0.26232669894321237,0.26232669894321237,0.06571094648031212
avg_dx,-0.25172550932808485,0.25172550932808485,0.07782182313507505
avg_dx_std,-0.2517255093280848,0.2517255093280848,0.07782182313507505
avg_dx_norm,-0.2517255093280848,0.2517255093280848,0.07782182313507505
dx_debuggingTime,-0.2369980053911088,0.2369980053911088,0.09749007291788948
dx_debuggingTime_norm,-0.2369980053911088,0.2369980053911088,0.09749007291788948
dx_debuggingTime_std,-0.23699800539110877,0.23699800539110877,0.09749007291788948
dx_bi_interaction_norm,-0.2339176944404667,0.2339176944404667,0.10205235485771016
dx_bi_interaction_std,-0.2339176944404667,0.2339176944404667,0.10205235485771016
dx_bi_interaction,-0.2339176944404667,0.2339176944404667,0.10205235485771016
dx_prIterationRate_norm,-0.20640677427703819,0.20640677427703819,0.1503945014775806
dx_prIterationRate,-0.20640677427703819,0.20640677427703819,0.1503945014775806
dx_prIterationRate_std,-0.2064067742770381,0.2064067742770381,0.1503945014775806
dx_averageCommentsPerPR_std,-0.20343363514997434,0.20343363514997434,0.1564899876876589
dx_averageCommentsPerPR,-0.2034336351499743,0.2034336351499743,0.1564899876876589
dx_averageCommentsPerPR_norm,-0.2034336351499743,0.2034336351499743,0.1564899876876589
tp_testCoverage_squared_std,0.17773878831430567,0.17773878831430567,0.21687687849229437
tp_testCoverage_squared,0.17773878831430567,0.17773878831430567,0.21687687849229437
tp_testCoverage_squared_norm,0.17773878831430556,0.17773878831430556,0.21687687849229437
tp_testCoverage_norm,0.17015070154574383,0.17015070154574383,0.23746207207711528
tp_testCoverage_std,0.17015070154574374,0.17015070154574374,0.23746207207711528
tp_testCoverage,0.17015070154574374,0.17015070154574374,0.23746207207711528
dx_efficiency_norm,0.13378112993058006,0.13378112993058006,0.35433076451216383
dx_efficiency,0.13378112993058003,0.13378112993058003,0.35433076451216383
dx_efficiency_std,0.13378112993058003,0.13378112993058003,0.35433076451216383
avg_dx_squared_std,-0.12372750735940699,0.12372750735940699,0.3919682694291066
avg_dx_squared,-0.12372750735940698,0.12372750735940698,0.3919682694291066
avg_dx_squared_norm,-0.12372750735940696,0.12372750735940696,0.3919682694291066
performance_efficiency,0.11946269468918833,0.11946269468918833,0.4086178481818844
